elapsed_s,phase,ac_status,battery_error,raw_rate,discharge_w,voltage_v,cpu_busy_percent,boost_error,boost,hwinfo_error,query_ms
17.511090,baseline,0,0,-6108,6.108000,16.159000,1.528662,0,0,2,2.406700
18.015433,baseline,0,0,-6108,6.108000,16.159000,1.945525,0,0,2,1.477700
18.503773,baseline,0,0,-6108,6.108000,16.159000,0.952381,0,0,2,1.687600
19.009225,baseline,0,0,-6141,6.141000,16.160000,1.146497,0,0,2,2.334400
19.512790,baseline,0,0,-6141,6.141000,16.160000,1.040312,0,0,2,1.202300
20.014643,baseline,0,0,-6080,6.080000,16.171000,2.853437,0,0,2,1.729700
20.502946,baseline,0,0,-6080,6.080000,16.171000,1.886792,0,0,2,2.021200
21.002065,baseline,0,0,-6080,6.080000,16.171000,5.714286,0,0,2,2.221000
21.507075,baseline,0,0,-6155,6.155000,16.154000,1.021711,0,0,2,2.850600
22.005784,baseline,0,0,-6155,6.155000,16.154000,3.534031,0,0,2,1.470600
22.511198,baseline,0,0,-6150,6.150000,16.142000,1.797176,0,0,2,3.262100
23.000264,baseline,0,0,-6150,6.150000,16.142000,1.065246,0,0,2,1.299600
23.503299,baseline,0,0,-6150,6.150000,16.142000,1.690507,0,0,2,2.740500
24.004982,baseline,0,0,-6182,6.182000,16.140000,1.666667,0,0,2,2.652700
24.506696,baseline,0,0,-6182,6.182000,16.140000,1.198402,0,0,2,1.491500
25.010107,baseline,0,0,-6220,6.220000,16.156000,1.270648,0,0,2,2.247900
25.506699,baseline,0,0,-6220,6.220000,16.156000,6.233766,0,0,2,1.830500
26.007702,baseline,0,0,-6220,6.220000,16.156000,2.890933,0,0,2,1.702300
26.515025,baseline,0,0,-6244,6.244000,16.135000,1.283697,0,0,2,2.266200
27.000217,baseline,0,0,-6244,6.244000,16.135000,0.948509,0,0,2,1.627100
27.504871,baseline,0,0,-6244,6.244000,16.135000,1.291990,0,0,2,1.394600
28.006180,baseline,0,0,-6205,6.205000,16.160000,1.690507,0,0,2,2.120200
28.502887,baseline,0,0,-6205,6.205000,16.160000,3.452685,0,0,2,1.961200
29.005959,baseline,0,0,-6205,6.205000,16.160000,1.728723,0,0,2,1.311000
29.510038,baseline,0,0,-6213,6.213000,16.138000,0.892857,0,0,2,1.465800
30.014306,load,0,0,-6213,6.213000,16.138000,2.035623,0,0,2,6.377300
30.507004,load,0,0,-6245,6.245000,16.136000,16.933333,0,0,2,2.045700
31.007616,load,0,0,-6245,6.245000,16.136000,17.290323,0,0,2,1.878300
31.506381,load,0,0,-6245,6.245000,16.136000,18.961039,0,4,2,1.538700
32.004417,load,0,0,-6344,6.344000,16.142000,22.207792,0,4,2,2.123000
32.510195,load,0,0,-6344,6.344000,16.142000,29.510309,0,4,2,0.544500
